会社,担当,最終更新,滞留日数,失敗理由,要対応(7日超),FB要約
リコー,小林 史弥,2026-07-08 13:17,7,画像キュー滞留(regen待ち),,リコー 【1枚目】 ・画像上部に白い空白部分があるため、画像を大きくするなどして削除する。 ・画像サイズがスライドに合っていないため、比率や配置を調整し、余白が出ない構図に修正する。 【3枚目】 ・1
日本製鉄,小林 史弥,2026-07-08 13:20,7,画像キュー滞留(regen待ち),,日本製鉄 【2枚目】 ・画像上部に白い空欄部分があるため削除する。 ・画像を拡大または再生成し、余白が出ないようにスライドサイズへ合わせる。 【9枚目】 ・2枚目と同様に、画像上部の白い空欄部分を削除
神戸製鋼所,小林 史弥,2026-07-08 13:43,7,画像キュー滞留(regen待ち),,神戸製鋼 【2枚目】 ・「KOBELCO」と神戸製鋼のつながりが、2枚目だけでは分かりにくい。KOBELCOが神戸製鋼グループのブランド名であることを自然に説明する流れへ修正する。 【8枚目】 ・画像
商船三井,仁科 嘉隆,2026-07-08 17:31,7,台本[要再確認],,【1コマ目】 ハルキ一文目の「大阪から別府とか、大洗から苫小牧とかだよね。」を、「大阪から別府とか、大洗から苫小牧とかを結ぶ船だよね。」にする。 【4コマ目】 ナナ一文目の「 世界中の日本車、この船で
NTTデータ,千田 浩太朗,2026-07-09 22:02,6,画像キュー滞留(regen待ち),,コマ7：数字より、この3つの力が社風と合うか。インフラを50年支えるには、人と哲学が大事なんだ。の部分。倍率は高いけど、にしたほうが良い。 コマ9： 画像で具体的な将来像が持てるように場面をもう少しわ
NTTドコモ,千田 浩太朗,2026-07-09 22:06,6,画像キュー滞留(regen待ち),,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 コマ10：できれば本社の写真をよりリアルに再現したほうが就活生
KDDI,千田 浩太朗,2026-07-09 22:12,6,画像キュー滞留(regen待ち),,コマ１：うん、povo。同じKDDIだけど。の部分。いきなりpoveって出てきて意味わからない。 コマ７：倍率じゃなくて、その姿勢が合うかどうか。の部分。倍率も高いけどに変更。 コマ9： 画像で具体的
ソフトバンク,千田 浩太朗,2026-07-09 22:18,6,画像キュー滞留(regen待ち),,コマ５：NTTドコモが935万円、KDDIが953万円だから、三大キャリアの中では少し低め。の部分。さっきのKDDIの紹介漫画では１０００マンを超えていると書いていたが合わせて。 数字より、挑戦の機会
楽天グループ,千田 浩太朗,2026-07-11 14:07,4,画像キュー滞留(regen待ち),,コマ２：Amazonとは違うんだ、店舗を支えるモデルなんだ…の部分。アマゾンと同じだと思うんだけど何が違うか少しでも触れて。 コマ３：26.5兆円!? 日本のGDPの何パーセント…の部分。具体的な％は
富士通,千田 浩太朗,2026-07-11 14:20,4,画像キュー滞留(regen待ち),,コマ４：富士通って、パソコンの会社?の部分。これは前のコマでも触れられていた。何回も同じことを聞いているとくどいと思われるので変更。 コマ５：平均年収929万円。でも富士通はジョブ型を導入してる。の部
NEC,千田 浩太朗,2026-07-11 14:27,4,画像キュー滞留(regen待ち),,"コマ２：2,702億円…老舗のイメージだったけど、今が一番強いんだ。の部分。今が一番収益が高いのかに変更。 コマ７：(静かに) 新しいことに挑戦する積極性…の部分。静かにを削除 コマ9： 画像で具体的"
TIS,千田 浩太朗,2026-07-11 21:44,4,画像キュー滞留(regen待ち),,コマ１：TIS? 聞いたことない…カードの裏側にいるの?の部分。カードのシステムを支えてるの？に変更。 コマ２：イラストの上部の薄くなっている部分を消去し、完全なイラストにして。 コマ７：(静かに) 
SCSK,千田 浩太朗,2026-07-11 21:49,4,画像キュー滞留(regen待ち),,全体を通して、裏方ばかり強調しているが、マイナスなイメージを持ってしまうかもしれないため、あまり裏方の連発はしないほうがいい。 コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくし
BIPROGY,千田 浩太朗,2026-07-11 22:07,4,画像キュー滞留(regen待ち),,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 社内のバドミントンチームで、リオ五輪金メダリストの先輩と練習。
ベイカレント・コンサルティング,千田 浩太朗,2026-07-11 22:26,4,画像キュー滞留(regen待ち),,コマ１０：イラストの左上のマスコットキャラみたいなものを削除して。
ブレインパッド,仁科 嘉隆,2026-07-14 16:22,1,台本[要再確認],,【5コマ目】 ナナの「2004年創業で、9年で上場… 本気で市場を作ってきた会社なんだ。」の市場を作るという表現に違和感を感じる。
セガサミーホールディングス,仁科 嘉隆,2026-07-14 15:38,1,台本[要再確認],,【3コマ目】 背景の東京駅の駅舎が違和感あり。なくてよい
マッキンゼー・アンド・カンパニー,千田 浩太朗,2026-07-14 15:35,1,画像キュー滞留(regen待ち),,コマ9： 画像で具体的な将来像が持てるように場面をもう少しわかりやすくしろ。例えば背景を細かくしたり登場人物の個性が分かるようにしたり。 コマ10：できれば本社の写真をよりリアルに再現したほうが就活生
