slug,社名,現行分類(18),新・大分類,新・中分類,横断タグ
ntt,NTT（日本電信電話）,IT・通信・SaaS,IT・通信・インターネット,通信キャリア,
ntt-docomo,NTTドコモ,IT・通信・SaaS,IT・通信・インターネット,通信キャリア,
softbank,ソフトバンク,IT・通信・SaaS,IT・通信・インターネット,通信キャリア,
hokkaido-gas,北海道ガス,インフラ・エネルギー,インフラ・エネルギー,ガス,
osaka-gas,大阪ガス,インフラ・エネルギー,インフラ・エネルギー,ガス,
saibu-gas,西部ガス,インフラ・エネルギー,インフラ・エネルギー,ガス,
shizuoka-gas,静岡ガス,インフラ・エネルギー,インフラ・エネルギー,ガス,
toho-gas,東邦ガス,インフラ・エネルギー,インフラ・エネルギー,ガス,
tokyo-gas,東京ガス,インフラ・エネルギー,インフラ・エネルギー,ガス,
chiyoda,千代田化工建設,インフラ・エネルギー,インフラ・エネルギー,プラントエンジ・水環境,
jgc-hd,日揮ホールディングス,インフラ・エネルギー,インフラ・エネルギー,プラントエンジ・水環境,
kurita,栗田工業,インフラ・エネルギー,インフラ・エネルギー,プラントエンジ・水環境,
metawater,メタウォーター,インフラ・エネルギー,インフラ・エネルギー,プラントエンジ・水環境,
erex,イーレックス,インフラ・エネルギー,インフラ・エネルギー,再生可能エネルギー,
renova,レノバ,インフラ・エネルギー,インフラ・エネルギー,再生可能エネルギー,
west-hd,ウエスト ホールディングス,インフラ・エネルギー,インフラ・エネルギー,再生可能エネルギー,
cosmo-energy,コスモエネルギーホールディングス,インフラ・エネルギー,インフラ・エネルギー,石油・資源・鉱業,
eneos,ENEOSホールディングス,インフラ・エネルギー,インフラ・エネルギー,石油・資源・鉱業,
idemitsu,出光興産,インフラ・エネルギー,インフラ・エネルギー,石油・資源・鉱業,
inpex,INPEX,インフラ・エネルギー,インフラ・エネルギー,石油・資源・鉱業,
japex,石油資源開発（JAPEX）,インフラ・エネルギー,インフラ・エネルギー,石油・資源・鉱業,
chubu-electric,中部電力,インフラ・エネルギー,インフラ・エネルギー,電力,
chugoku-electric,中国電力,インフラ・エネルギー,インフラ・エネルギー,電力,
hokkaido-electric,北海道電力,インフラ・エネルギー,インフラ・エネルギー,電力,
hokuriku-electric,北陸電力,インフラ・エネルギー,インフラ・エネルギー,電力,
j-power,電源開発（J-POWER）,インフラ・エネルギー,インフラ・エネルギー,電力,
jera,JERA,インフラ・エネルギー,インフラ・エネルギー,電力,
kepco,関西電力,インフラ・エネルギー,インフラ・エネルギー,電力,
kyushu-electric,九州電力,インフラ・エネルギー,インフラ・エネルギー,電力,
okinawa-electric,沖縄電力,インフラ・エネルギー,インフラ・エネルギー,電力,
shikoku-electric,四国電力,インフラ・エネルギー,インフラ・エネルギー,電力,
tepco,東京電力ホールディングス,インフラ・エネルギー,インフラ・エネルギー,電力,
tohoku-electric,東北電力,インフラ・エネルギー,インフラ・エネルギー,電力,
jri,日本総合研究所（JRI）,コンサル,コンサル・シンクタンク,シンクタンク・リサーチ,
mri,三菱総合研究所（MRI）,コンサル,コンサル・シンクタンク,シンクタンク・リサーチ,
murc,三菱UFJリサーチ&コンサルティング,コンサル,コンサル・シンクタンク,シンクタンク・リサーチ,
nri,野村総合研究所（NRI）,コンサル,コンサル・シンクタンク,シンクタンク・リサーチ,
adl,アーサー・D・リトル,コンサル,コンサル・シンクタンク,戦略コンサル,
bain,ベイン・アンド・カンパニー,コンサル,コンサル・シンクタンク,戦略コンサル,
bcg,ボストン コンサルティング グループ（BCG）,コンサル,コンサル・シンクタンク,戦略コンサル,
cdi,コーポレイトディレクション（CDI）,コンサル,コンサル・シンクタンク,戦略コンサル,
dream-incubator,ドリームインキュベータ,コンサル,コンサル・シンクタンク,戦略コンサル,
mckinsey,マッキンゼー・アンド・カンパニー,コンサル,コンサル・シンクタンク,戦略コンサル,
roland-berger,ローランド・ベルガー,コンサル,コンサル・シンクタンク,戦略コンサル,
strategy-and,Strategy&（PwC）,コンサル,コンサル・シンクタンク,戦略コンサル,
abeam,アビームコンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
accenture,アクセンチュア,コンサル,コンサル・シンクタンク,総合・ITコンサル,
baycurrent,ベイカレント・コンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
deloitte,デロイト トーマツ コンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
ey,EYストラテジー・アンド・コンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
ibm-consulting,IBMコンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
kpmg,KPMGコンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
pwc,PwCコンサルティング,コンサル,コンサル・シンクタンク,総合・ITコンサル,
base-food,ベースフード,その他（外資・新興等）,ディープテック・宇宙,バイオ・新素材,スタートアップ・新興
euglena,ユーグレナ,その他（外資・新興等）,ディープテック・宇宙,バイオ・新素材,スタートアップ・新興
spiber,Spiber（スパイバー）,その他（外資・新興等）,ディープテック・宇宙,バイオ・新素材,スタートアップ・新興
tbm,TBM（ティービーエム）,その他（外資・新興等）,ディープテック・宇宙,バイオ・新素材,スタートアップ・新興
astroscale-hd,アストロスケールホールディングス,その他（外資・新興等）,ディープテック・宇宙,宇宙・ディープテック,スタートアップ・新興
ispace,ispace（アイスペース）,その他（外資・新興等）,ディープテック・宇宙,宇宙・ディープテック,スタートアップ・新興
bandai-namco,バンダイナムコホールディングス,ゲーム・エンタメ,マスコミ・広告・エンタメ,ゲーム,
capcom,カプコン,ゲーム・エンタメ,マスコミ・広告・エンタメ,ゲーム,
konami,コナミグループ,ゲーム・エンタメ,マスコミ・広告・エンタメ,ゲーム,
nintendo,任天堂,ゲーム・エンタメ,マスコミ・広告・エンタメ,ゲーム,
sega-sammy,セガサミーホールディングス,ゲーム・エンタメ,マスコミ・広告・エンタメ,ゲーム,
square-enix,スクウェア・エニックス・ホールディングス,ゲーム・エンタメ,マスコミ・広告・エンタメ,ゲーム,
fuji-media-hd,フジ・メディア・ホールディングス,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
ntv-hd,日本テレビホールディングス,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
skyperfectjsat-hd,スカパーJSATホールディングス,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
tbs-hd,TBSホールディングス,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
tv-asahi-hd,テレビ朝日ホールディングス,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
tv-tokyo-hd,テレビ東京ホールディングス,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
wowow,WOWOW,広告・メディア,マスコミ・広告・エンタメ,テレビ・放送,
adk-hd,ADKホールディングス,広告・メディア,マスコミ・広告・エンタメ,広告代理店,
dentsu,電通,広告・メディア,マスコミ・広告・エンタメ,広告代理店,
hakuhodo-dy,博報堂DYホールディングス,広告・メディア,マスコミ・広告・エンタメ,広告代理店,
septeni-hd,セプテーニ・ホールディングス,広告・メディア,マスコミ・広告・エンタメ,広告代理店,
asahi-shimbun,朝日新聞社,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
bungeishunju,文藝春秋,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
kadokawa,KADOKAWA,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
kodansha,講談社,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
nikkei,日本経済新聞社,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
pia,ぴあ,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
shogakukan,小学館,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
shueisha,集英社,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
yomiuri-group,読売新聞グループ本社,広告・メディア,マスコミ・広告・エンタメ,新聞・出版,
amuse,アミューズ,広告・メディア,マスコミ・広告・エンタメ,音楽・芸能,
avex,エイベックス,広告・メディア,マスコミ・広告・エンタメ,音楽・芸能,
oriental-land,オリエンタルランド,広告・メディア,マスコミ・広告・エンタメ,テーマパーク・レジャー,
round-one,ラウンドワン,広告・メディア,マスコミ・広告・エンタメ,テーマパーク・レジャー,
sanrio,サンリオ,広告・メディア,マスコミ・広告・エンタメ,テーマパーク・レジャー,
shochiku,松竹,広告・メディア,マスコミ・広告・エンタメ,映画・映像,
toei,東映,広告・メディア,マスコミ・広告・エンタメ,映画・映像,
toho,東宝,広告・メディア,マスコミ・広告・エンタメ,映画・映像,
usj,合同会社ユー・エス・ジェイ（USJ）,広告・メディア,マスコミ・広告・エンタメ,テーマパーク・レジャー,
yoshimoto-hd,吉本興業ホールディングス,広告・メディア,マスコミ・広告・エンタメ,音楽・芸能,
chori,蝶理,専門商社,商社,化学商社,
daiichi-jitsugyo,第一実業,専門商社,商社,機械・電子部品商社,
hanwa,阪和興業,専門商社,商社,鉄鋼・金属商社,
inaba-denki,因幡電機産業,専門商社,商社,機械・電子部品商社,
inabata,稲畑産業,専門商社,商社,化学商社,
jfe-shoji,JFE商事,専門商社,商社,鉄鋼・金属商社,
kaga-electronics,加賀電子,専門商社,商社,機械・電子部品商社,
lester-hd,レスターホールディングス,専門商社,商社,機械・電子部品商社,
macnica-hd,マクニカホールディングス,専門商社,商社,機械・電子部品商社,
metal-one,メタルワン,専門商社,商社,鉄鋼・金属商社,
nagase,長瀬産業,専門商社,商社,化学商社,
seika-sangyo,西華産業,専門商社,商社,機械・電子部品商社,
alfresa,アルフレッサ ホールディングス,専門商社,商社,医薬品商社,
itochu-shokuhin,伊藤忠食品,専門商社,商社,食品商社,
kato-sangyo,加藤産業,専門商社,商社,食品商社,
kokubu,国分グループ本社,専門商社,商社,食品商社,
medipal,メディパルホールディングス,専門商社,商社,医薬品商社,
mitsubishi-shokuhin,三菱食品,専門商社,商社,食品商社,
suzuken,スズケン,専門商社,商社,医薬品商社,
toho-hd,東邦ホールディングス,専門商社,商社,医薬品商社,
itochu,伊藤忠商事,総合商社,商社,総合商社,
iwatani,岩谷産業,インフラ・エネルギー,インフラ・エネルギー,ガス,
kanematsu,兼松,総合商社,商社,総合商社,
marubeni,丸紅,総合商社,商社,総合商社,
mitsubishi-corp,三菱商事,総合商社,商社,総合商社,
mitsui-bussan,三井物産,総合商社,商社,総合商社,
shinkokusyoji,神鋼商事,専門商社,商社,鉄鋼・金属商社,
sojitz,双日,総合商社,商社,総合商社,
sumitomo-corp,住友商事,総合商社,商社,総合商社,
toyota-tsusho,豊田通商,総合商社,商社,総合商社,
cosmos-pharma,コスモス薬品,小売・流通,小売・流通,ドラッグストア,
matsukiyococokara,マツキヨココカラ＆カンパニー,小売・流通,小売・流通,ドラッグストア,
sugi-hd,スギホールディングス,小売・流通,小売・流通,ドラッグストア,
sundrug,サンドラッグ,小売・流通,小売・流通,ドラッグストア,
tsuruha-hd,ツルハホールディングス,小売・流通,小売・流通,ドラッグストア,
welcia-hd,ウエルシアホールディングス,小売・流通,小売・流通,ドラッグストア,
biccamera,ビックカメラ,小売・流通,小売・流通,家電量販・ホームセンター,
cainz,カインズ,小売・流通,小売・流通,家電量販・ホームセンター,
dcm-hd,DCMホールディングス,小売・流通,小売・流通,家電量販・ホームセンター,
komeri,コメリ,小売・流通,小売・流通,家電量販・ホームセンター,
yamada-hd,ヤマダホールディングス,小売・流通,小売・流通,家電量販・ホームセンター,
yodobashi,ヨドバシカメラ,小売・流通,小売・流通,家電量販・ホームセンター,
adastria,アダストリア,小売・流通,小売・流通,専門店・アパレル・EC,
fast-retailing,ファーストリテイリング,小売・流通,小売・流通,専門店・アパレル・EC,
nitori-hd,ニトリホールディングス,小売・流通,小売・流通,専門店・アパレル・EC,
ryohin-keikaku,良品計画,小売・流通,小売・流通,専門店・アパレル・EC,
shimamura,しまむら,小売・流通,小売・流通,専門店・アパレル・EC,
workman,ワークマン,小売・流通,小売・流通,専門店・アパレル・EC,
zozo,ZOZO,小売・流通,小売・流通,専門店・アパレル・EC,
h2o-retailing,エイチ・ツー・オー リテイリング,小売・流通,小売・流通,百貨店,
isetan-mitsukoshi,三越伊勢丹ホールディングス,小売・流通,小売・流通,百貨店,
j-front,J.フロント リテイリング,小売・流通,小売・流通,百貨店,
takashimaya,髙島屋,小売・流通,小売・流通,百貨店,
aeon,イオン,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
familymart,ファミリーマート,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
lawson,ローソン,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
life-corp,ライフコーポレーション,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
ppih,パン・パシフィック・インターナショナルホールディングス（ドン・キホーテ）,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
seven-and-i,セブン＆アイ・ホールディングス,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
yaoko,ヤオコー,小売・流通,小売・流通,総合小売（GMS・スーパー・CVS）,
ando-hazama,安藤ハザマ,不動産・建設,建設・不動産,ゼネコン・建設,
haseko,長谷工コーポレーション,不動産・建設,建設・不動産,ゼネコン・建設,
infroneer-hd,インフロニア・ホールディングス（前田建設）,不動産・建設,建設・不動産,ゼネコン・建設,
kajima,鹿島建設,不動産・建設,建設・不動産,ゼネコン・建設,
kumagai-gumi,熊谷組,不動産・建設,建設・不動産,ゼネコン・建設,
nishimatsu,西松建設,不動産・建設,建設・不動産,ゼネコン・建設,
obayashi,大林組,不動産・建設,建設・不動産,ゼネコン・建設,
penta-ocean,五洋建設,不動産・建設,建設・不動産,ゼネコン・建設,
shimizu,清水建設,不動産・建設,建設・不動産,ゼネコン・建設,
taisei,大成建設,不動産・建設,建設・不動産,ゼネコン・建設,
takenaka,竹中工務店,不動産・建設,建設・不動産,ゼネコン・建設,
toda,戸田建設,不動産・建設,建設・不動産,ゼネコン・建設,
daito-kentaku,大東建託,不動産・建設,建設・不動産,ハウスメーカー,
daiwa-house,大和ハウス工業,不動産・建設,建設・不動産,ハウスメーカー,
iida-group-hd,飯田グループホールディングス,不動産・建設,建設・不動産,ハウスメーカー,
open-house-group,オープンハウスグループ,不動産・建設,建設・不動産,ハウスメーカー,
sekisui-house,積水ハウス,不動産・建設,建設・不動産,ハウスメーカー,
sumitomo-forestry,住友林業,不動産・建設,建設・不動産,ハウスメーカー,
hulic,ヒューリック,不動産・建設,建設・不動産,不動産・デベロッパー,
mitsubishi-estate,三菱地所,不動産・建設,建設・不動産,不動産・デベロッパー,
mitsui-fudosan,三井不動産,不動産・建設,建設・不動産,不動産・デベロッパー,
mori-building,森ビル,不動産・建設,建設・不動産,不動産・デベロッパー,
nomura-fudosan-hd,野村不動産ホールディングス,不動産・建設,建設・不動産,不動産・デベロッパー,
sumitomo-fudosan,住友不動産,不動産・建設,建設・不動産,不動産・デベロッパー,
tokyo-tatemono,東京建物,不動産・建設,建設・不動産,不動産・デベロッパー,
tokyu-fudosan-hd,東急不動産ホールディングス,不動産・建設,建設・不動産,不動産・デベロッパー,
kandenko,関電工,不動産・建設,建設・不動産,設備・電気工事,
kinden,きんでん,不動産・建設,建設・不動産,設備・電気工事,
taiki-sha,大気社,不動産・建設,建設・不動産,設備・電気工事,
takasago-thermal,高砂熱学工業,不動産・建設,建設・不動産,設備・電気工事,
pasona-group,パソナグループ,その他（外資・新興等）,教育・人材,人材サービス,
persol-hd,パーソルホールディングス,その他（外資・新興等）,教育・人材,人材サービス,
benesse-hd,ベネッセホールディングス,その他（外資・新興等）,教育・人材,教育,
gakken-hd,学研ホールディングス,その他（外資・新興等）,教育・人材,教育,
nagase-toshin,ナガセ（東進）,その他（外資・新興等）,教育・人材,教育,
kose,コーセー,日用品・化粧品,消費財・ヘルスケアメーカー,化粧品・美容,
loreal-japan,日本ロレアル,日用品・化粧品,消費財・ヘルスケアメーカー,化粧品・美容,外資系
pola-orbis-hd,ポーラ・オルビスホールディングス,日用品・化粧品,消費財・ヘルスケアメーカー,化粧品・美容,
shiseido,資生堂,日用品・化粧品,消費財・ヘルスケアメーカー,化粧品・美容,
jmdc,JMDC,製薬・ヘルスケア,消費財・ヘルスケアメーカー,ヘルステック（医療IT）,スタートアップ・新興
m3,エムスリー,製薬・ヘルスケア,消費財・ヘルスケアメーカー,ヘルステック（医療IT）,スタートアップ・新興
medley,メドレー,製薬・ヘルスケア,消費財・ヘルスケアメーカー,ヘルステック（医療IT）,スタートアップ・新興
astellas,アステラス製薬,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
chugai,中外製薬,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
daiichi-sankyo,第一三共,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
eisai,エーザイ,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
otsuka-hd,大塚ホールディングス,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
shionogi,塩野義製薬,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
takeda,武田薬品工業,製薬・ヘルスケア,消費財・ヘルスケアメーカー,医薬品・製薬,
kao,花王,日用品・化粧品,消費財・ヘルスケアメーカー,日用品・トイレタリー,
kobayashi-pharma,小林製薬,日用品・化粧品,消費財・ヘルスケアメーカー,日用品・トイレタリー,
lion,ライオン,日用品・化粧品,消費財・ヘルスケアメーカー,日用品・トイレタリー,
pg-japan,P＆Gジャパン,日用品・化粧品,消費財・ヘルスケアメーカー,日用品・トイレタリー,外資系
unicharm,ユニ・チャーム,日用品・化粧品,消費財・ヘルスケアメーカー,日用品・トイレタリー,
unilever-japan,ユニリーバ・ジャパン,日用品・化粧品,消費財・ヘルスケアメーカー,日用品・トイレタリー,外資系
ajinomoto,味の素,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
asahi-group,アサヒグループホールディングス,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
calbee,カルビー,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
ezaki-glico,江崎グリコ,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
fuji-oil-hd,不二製油グループ本社,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
house-foods,ハウス食品グループ本社,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
itoen,伊藤園,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
kagome,カゴメ,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
kewpie,キユーピー,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
kikkoman,キッコーマン,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
kirin-hd,キリンホールディングス,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
lotte,ロッテ,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
meiji-hd,明治ホールディングス,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
morinaga-milk,森永乳業,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
morinaga-seika,森永製菓,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
nestle-japan,ネスレ日本,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,外資系
nichirei,ニチレイ,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
nipponham,日本ハム,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
nissin-hd,日清食品ホールディングス,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
sapporo-hd,サッポロホールディングス,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
suntory,サントリーホールディングス,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
yakult,ヤクルト本社,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
yamazaki-pan,山崎製パン,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
yukijirushi-megmilk,雪印メグミルク,食品・飲料,消費財・ヘルスケアメーカー,食品・飲料,
agc,AGC,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
asahi-kasei,旭化成,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
bridgestone,ブリヂストン,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
mitsubishi-chemical,三菱ケミカルグループ,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
mitsui-chemical,三井化学,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
shinetsu-chemical,信越化学工業,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
sumitomo-chemical,住友化学,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
toray,東レ,鉄鋼・素材・化学,素材・化学,化学・繊維・ゴム・ガラス,
jfe-hd,JFEホールディングス,鉄鋼・素材・化学,素材・化学,鉄鋼・非鉄・金属,
kobe-steel,神戸製鋼所,鉄鋼・素材・化学,素材・化学,鉄鋼・非鉄・金属,
mitsubishi-materials,三菱マテリアル,鉄鋼・素材・化学,素材・化学,鉄鋼・非鉄・金属,
nippon-steel,日本製鉄,鉄鋼・素材・化学,素材・化学,鉄鋼・非鉄・金属,
sumitomo-electric,住友電気工業,鉄鋼・素材・化学,素材・化学,鉄鋼・非鉄・金属,
sumitomo-metal-mining,住友金属鉱山,鉄鋼・素材・化学,素材・化学,鉄鋼・非鉄・金属,
aisin,アイシン,自動車・モビリティ,自動車・輸送機器,自動車部品,
denso,デンソー,自動車・モビリティ,自動車・輸送機器,自動車部品,
toyota-shokki,豊田自動織機,自動車・モビリティ,自動車・輸送機器,自動車部品,
honda,本田技研工業（ホンダ）,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
isuzu,いすゞ自動車,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
mazda,マツダ,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
mitsubishi-motors,三菱自動車,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
nissan,日産自動車,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
subaru,SUBARU,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
suzuki,スズキ,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
toyota-motor,トヨタ自動車,自動車・モビリティ,自動車・輸送機器,自動車（完成車）,
k-line,川崎汽船,航空・運輸・物流,運輸・物流,海運,
mol,商船三井,航空・運輸・物流,運輸・物流,海運,
nyk,日本郵船,航空・運輸・物流,運輸・物流,海運,
ana-hd,ANAホールディングス,航空・運輸・物流,運輸・物流,航空,
jal,JAL（日本航空）,航空・運輸・物流,運輸・物流,航空,
hankyu-hanshin-hd,阪急阪神ホールディングス,航空・運輸・物流,運輸・物流,鉄道,
jr-central,JR東海（東海旅客鉄道）,航空・運輸・物流,運輸・物流,鉄道,
jr-east,JR東日本（東日本旅客鉄道）,航空・運輸・物流,運輸・物流,鉄道,
jr-west,JR西日本（西日本旅客鉄道）,航空・運輸・物流,運輸・物流,鉄道,
keikyu,京浜急行電鉄,航空・運輸・物流,運輸・物流,鉄道,
